Tiempo (s)	Potencia (W)	Temperatura foco caliente (°C)	Temperatura foco frío (°C)
$0.000 \pm 0.001$	$0.000000000 \pm 0.000000000$	$23.000 \pm 0.100$	$17.000 \pm 0.100$
$30.000 \pm 0.001$	$1591.200000000 \pm 0.304652657$	$23.700 \pm 0.100$	$16.000 \pm 0.100$
$60.000 \pm 0.001$	$2736.000000000 \pm 0.601730305$	$24.400 \pm 0.100$	$16.800 \pm 0.100$
$90.000 \pm 0.001$	$6093.900000000 \pm 0.902543431$	$25.300 \pm 0.100$	$16.700 \pm 0.100$
$120.000 \pm 0.001$	$7593.600000000 \pm 1.201667324$	$26.300 \pm 0.100$	$15.600 \pm 0.100$
$150.000 \pm 0.001$	$9408.000000000 \pm 1.501310693$	$26.700 \pm 0.100$	$15.400 \pm 0.100$
$180.000 \pm 0.001$	$11289.600000000 \pm 1.801092390$	$28.100 \pm 0.100$	$14.800 \pm 0.100$
$210.000 \pm 0.001$	$12448.800000000 \pm 2.100836528$	$28.600 \pm 0.100$	$14.000 \pm 0.100$
$240.000 \pm 0.001$	$13610.400000000 \pm 2.400669912$	$29.500 \pm 0.100$	$13.600 \pm 0.100$
$270.000 \pm 0.001$	$18635.400000000 \pm 2.700882034$	$30.300 \pm 0.100$	$13.400 \pm 0.100$
$300.000 \pm 0.001$	$21240.000000000 \pm 3.000835324$	$31.000 \pm 0.100$	$12.100 \pm 0.100$
$330.000 \pm 0.001$	$23159.400000000 \pm 3.300746163$	$32.000 \pm 0.100$	$12.200 \pm 0.100$
$360.000 \pm 0.001$	$25912.800000000 \pm 3.600719528$	$32.600 \pm 0.100$	$11.300 \pm 0.100$
$390.000 \pm 0.001$	$29016.000000000 \pm 3.900709597$	$33.200 \pm 0.100$	$10.500 \pm 0.100$
$420.000 \pm 0.001$	$26334.000000000 \pm 4.200467985$	$34.100 \pm 0.100$	$10.800 \pm 0.100$
$450.000 \pm 0.001$	$27904.500000000 \pm 4.500427229$	$35.000 \pm 0.100$	$9.700 \pm 0.100$
$480.000 \pm 0.001$	$36576.000000000 \pm 4.800604799$	$35.900 \pm 0.100$	$9.300 \pm 0.100$
$510.000 \pm 0.001$	$40157.400000000 \pm 5.100607806$	$36.700 \pm 0.100$	$9.000 \pm 0.100$
$540.000 \pm 0.001$	$40500.000000000 \pm 5.400520808$	$37.400 \pm 0.100$	$8.400 \pm 0.100$
$570.000 \pm 0.001$	$36708.000000000 \pm 5.700363792$	$37.800 \pm 0.100$	$8.000 \pm 0.100$
$600.000 \pm 0.001$	$53856.000000000 \pm 6.000671367$	$38.800 \pm 0.100$	$7.700 \pm 0.100$
$630.000 \pm 0.001$	$56964.600000000 \pm 6.300648838$	$39.600 \pm 0.100$	$7.300 \pm 0.100$
$660.000 \pm 0.001$	$52377.600000000 \pm 6.600477105$	$40.100 \pm 0.100$	$6.900 \pm 0.100$
$690.000 \pm 0.001$	$43642.500000000 \pm 6.900289890$	$40.800 \pm 0.100$	$6.400 \pm 0.100$
