COP
$nan \pm nan$
$1.840623429 \pm 0.371862255$
$2.140935673 \pm 0.216267674$
$1.579152923 \pm 0.097098520$
$1.818268015 \pm 0.077922328$
$1.645493197 \pm 0.062894570$
$1.890093537 \pm 0.052412552$
$1.882141251 \pm 0.047532306$
$1.998177864 \pm 0.043476048$
$1.638988162 \pm 0.031752660$
$1.575894539 \pm 0.027859033$
$1.625948859 \pm 0.025550372$
$1.550060202 \pm 0.022835559$
$1.470802316 \pm 0.020393396$
$1.763590795 \pm 0.022471076$
$1.799279686 \pm 0.021206700$
$1.475656168 \pm 0.016178624$
$1.427403169 \pm 0.014735808$
$1.487644444 \pm 0.014611395$
$1.686912935 \pm 0.016121420$
$1.227480689 \pm 0.010987686$
$1.219255467 \pm 0.010388150$
$1.365973240 \pm 0.011298258$
$1.706483359 \pm 0.013560729$
$1.387705635 \pm 0.010609686$
$1.375403812 \pm 0.010185394$
$1.367895007 \pm 0.009871480$
$1.353533905 \pm 0.009431106$
$1.330911505 \pm 0.009094343$
$1.320244900 \pm 0.008850521$
$1.560125889 \pm 0.010123726$
$1.284913185 \pm 0.008150279$
$1.410483795 \pm 0.008712871$
$1.281189851 \pm 0.007845421$
$1.294783378 \pm 0.007695615$
$1.249450454 \pm 0.007333710$
$1.215609821 \pm 0.007018592$
$1.202065795 \pm 0.006828956$
$1.184534081 \pm 0.006649287$
$1.196679131 \pm 0.006586901$
$1.161172067 \pm 0.006366669$
$1.159196164 \pm 0.006211465$
$1.144455304 \pm 0.006063613$
$1.126213398 \pm 0.005922626$
$1.112892185 \pm 0.005788060$
$1.108164212 \pm 0.005659501$
$1.325855254 \pm 0.006723795$
$1.297645568 \pm 0.006580735$
$1.061407283 \pm 0.005305856$
$0.890627661 \pm 0.004420512$
$1.033353126 \pm 0.005093670$
$1.027211039 \pm 0.004993842$
$0.995245869 \pm 0.004821831$
$0.978171282 \pm 0.004690918$
$0.989026766 \pm 0.004679625$
$0.975417268 \pm 0.004630733$
$1.178668763 \pm 0.005540939$
$0.790042027 \pm 0.003688381$
$1.123026399 \pm 0.005193023$
$0.930646381 \pm 0.004316861$
$0.907986111 \pm 0.004143794$
